,symboling,height,curb_weight,engine_size,bore,compression_ratio,horsepower,peak_rpm,highway_mpg,engine_location_is_front,fuel_type_is_gas,make_honda,make_nissan,make_peugot,make_volkswagen,make_volvo,body_style_other,drive_wheels_fwd,drive_wheels_rwd,engine_type_ohc,fuel_system_other,normalized_losses
0,3,48.8,2548,130,3.47,9.0,111.0,5000.0,27,1,1,0,0,0,0,0,1,0,1,0,0,122.0
1,3,48.8,2548,130,3.47,9.0,111.0,5000.0,27,1,1,0,0,0,0,0,1,0,1,0,0,122.0
2,1,52.4,2823,152,2.68,9.0,154.0,5000.0,26,1,1,0,0,0,0,0,0,0,1,0,0,122.0
3,2,54.3,2337,109,3.19,10.0,102.0,5500.0,30,1,1,0,0,0,0,0,0,1,0,1,0,164.0
4,2,54.3,2824,136,3.19,8.0,115.0,5500.0,22,1,1,0,0,0,0,0,0,0,0,1,0,164.0
5,2,53.1,2507,136,3.19,8.5,110.0,5500.0,25,1,1,0,0,0,0,0,0,1,0,1,0,122.0
6,1,55.7,2844,136,3.19,8.5,110.0,5500.0,25,1,1,0,0,0,0,0,0,1,0,1,0,158.0
7,1,55.7,2954,136,3.19,8.5,110.0,5500.0,25,1,1,0,0,0,0,0,0,1,0,1,0,122.0
8,1,55.9,3086,131,3.13,8.3,140.0,5500.0,20,1,1,0,0,0,0,0,0,1,0,1,0,158.0
9,0,52.0,3053,131,3.13,7.0,160.0,5500.0,22,1,1,0,0,0,0,0,0,0,0,1,0,122.0
10,2,54.3,2395,108,3.5,8.8,101.0,5800.0,29,1,1,0,0,0,0,0,0,0,1,1,0,192.0
11,0,54.3,2395,108,3.5,8.8,101.0,5800.0,29,1,1,0,0,0,0,0,0,0,1,1,0,192.0
12,0,54.3,2710,164,3.31,9.0,121.0,4250.0,28,1,1,0,0,0,0,0,0,0,1,1,0,188.0
13,0,54.3,2765,164,3.31,9.0,121.0,4250.0,28,1,1,0,0,0,0,0,0,0,1,1,0,188.0
14,1,55.7,3055,164,3.31,9.0,121.0,4250.0,25,1,1,0,0,0,0,0,0,0,1,1,0,122.0
15,0,55.7,3230,209,3.62,8.0,182.0,5400.0,22,1,1,0,0,0,0,0,0,0,1,1,0,122.0
16,0,53.7,3380,209,3.62,8.0,182.0,5400.0,22,1,1,0,0,0,0,0,0,0,1,1,0,122.0
17,0,56.3,3505,209,3.62,8.0,182.0,5400.0,20,1,1,0,0,0,0,0,0,0,1,1,0,122.0
18,2,53.2,1488,61,2.91,9.5,48.0,5100.0,53,1,1,0,0,0,0,0,0,1,0,0,0,121.0
19,1,52.0,1874,90,3.03,9.6,70.0,5400.0,43,1,1,0,0,0,0,0,0,1,0,1,0,98.0
20,0,52.0,1909,90,3.03,9.6,70.0,5400.0,43,1,1,0,0,0,0,0,0,1,0,1,0,81.0
21,1,50.8,1876,90,2.97,9.41,68.0,5500.0,41,1,1,0,0,0,0,0,0,1,0,1,0,118.0
22,1,50.8,1876,90,2.97,9.4,68.0,5500.0,38,1,1,0,0,0,0,0,0,1,0,1,0,118.0
23,1,50.8,2128,98,3.03,7.6,102.0,5500.0,30,1,1,0,0,0,0,0,0,1,0,1,0,118.0
24,1,50.6,1967,90,2.97,9.4,68.0,5500.0,38,1,1,0,0,0,0,0,0,1,0,1,0,148.0
25,1,50.6,1989,90,2.97,9.4,68.0,5500.0,38,1,1,0,0,0,0,0,0,1,0,1,0,148.0
26,1,50.6,1989,90,2.97,9.4,68.0,5500.0,38,1,1,0,0,0,0,0,0,1,0,1,0,148.0
27,1,50.6,2191,98,3.03,7.6,102.0,5500.0,30,1,1,0,0,0,0,0,0,1,0,1,0,148.0
28,-1,59.8,2535,122,3.34,8.5,88.0,5000.0,30,1,1,0,0,0,0,0,0,1,0,1,0,110.0
29,3,50.2,2811,156,3.6,7.0,145.0,5000.0,24,1,1,0,0,0,0,0,0,1,0,1,1,145.0
30,2,50.8,1713,92,2.91,9.6,58.0,4800.0,54,1,1,1,0,0,0,0,0,1,0,1,0,137.0
31,2,50.8,1819,92,2.91,9.2,76.0,6000.0,38,1,1,1,0,0,0,0,0,1,0,1,0,137.0
32,1,52.6,1837,79,2.91,10.1,60.0,5500.0,42,1,1,1,0,0,0,0,0,1,0,1,0,101.0
33,1,52.6,1940,92,2.91,9.2,76.0,6000.0,34,1,1,1,0,0,0,0,0,1,0,1,0,101.0
34,1,52.6,1956,92,2.91,9.2,76.0,6000.0,34,1,1,1,0,0,0,0,0,1,0,1,0,101.0
35,0,54.5,2010,92,2.91,9.2,76.0,6000.0,34,1,1,1,0,0,0,0,0,1,0,1,0,110.0
36,0,58.3,2024,92,2.92,9.2,76.0,6000.0,34,1,1,1,0,0,0,0,0,1,0,1,0,78.0
37,0,53.3,2236,110,3.15,9.0,86.0,5800.0,33,1,1,1,0,0,0,0,0,1,0,1,0,106.0
38,0,53.3,2289,110,3.15,9.0,86.0,5800.0,33,1,1,1,0,0,0,0,0,1,0,1,0,106.0
39,0,54.1,2304,110,3.15,9.0,86.0,5800.0,33,1,1,1,0,0,0,0,0,1,0,1,0,85.0
40,0,54.1,2372,110,3.15,9.0,86.0,5800.0,33,1,1,1,0,0,0,0,0,1,0,1,0,85.0
41,0,54.1,2465,110,3.15,9.0,101.0,5800.0,28,1,1,1,0,0,0,0,0,1,0,1,0,85.0
42,1,51.0,2293,110,3.15,9.1,100.0,5500.0,31,1,1,1,0,0,0,0,0,1,0,1,0,107.0
43,0,53.5,2337,111,3.31,8.5,78.0,4800.0,29,1,1,0,0,0,0,0,0,0,1,1,0,122.0
44,1,52.0,1874,90,3.03,9.6,70.0,5400.0,43,1,1,0,0,0,0,0,0,1,0,1,0,122.0
45,0,52.0,1909,90,3.03,9.6,70.0,5400.0,43,1,1,0,0,0,0,0,0,1,0,1,0,122.0
46,2,51.4,2734,119,3.43,9.2,90.0,5000.0,29,1,1,0,0,0,0,0,0,0,1,1,1,122.0
47,0,52.8,4066,258,3.63,8.1,176.0,4750.0,19,1,1,0,0,0,0,0,0,0,1,0,0,145.0
48,0,52.8,4066,258,3.63,8.1,176.0,4750.0,19,1,1,0,0,0,0,0,0,0,1,0,0,122.0
49,0,47.8,3950,326,3.54,11.5,262.0,5000.0,17,1,1,0,0,0,0,0,0,0,1,0,0,122.0
50,1,54.1,1890,91,3.03,9.0,68.0,5000.0,31,1,1,0,0,0,0,0,0,1,0,1,0,104.0
51,1,54.1,1900,91,3.03,9.0,68.0,5000.0,38,1,1,0,0,0,0,0,0,1,0,1,0,104.0
52,1,54.1,1905,91,3.03,9.0,68.0,5000.0,38,1,1,0,0,0,0,0,0,1,0,1,0,104.0
53,1,54.1,1945,91,3.03,9.0,68.0,5000.0,38,1,1,0,0,0,0,0,0,1,0,1,0,113.0
54,1,54.1,1950,91,3.08,9.0,68.0,5000.0,38,1,1,0,0,0,0,0,0,1,0,1,0,113.0
55,3,49.6,2380,70,3.329751243781096,9.4,101.0,6000.0,23,1,1,0,0,0,0,0,0,0,1,0,1,150.0
56,3,49.6,2380,70,3.329751243781096,9.4,101.0,6000.0,23,1,1,0,0,0,0,0,0,0,1,0,1,150.0
57,3,49.6,2385,70,3.329751243781096,9.4,101.0,6000.0,23,1,1,0,0,0,0,0,0,0,1,0,1,150.0
58,3,49.6,2500,80,3.329751243781096,9.4,135.0,6000.0,23,1,1,0,0,0,0,0,0,0,1,0,0,150.0
59,1,53.7,2385,122,3.39,8.6,84.0,4800.0,32,1,1,0,0,0,0,0,0,1,0,1,0,129.0
60,0,55.5,2410,122,3.39,8.6,84.0,4800.0,32,1,1,0,0,0,0,0,0,1,0,1,0,115.0
61,1,53.7,2385,122,3.39,8.6,84.0,4800.0,32,1,1,0,0,0,0,0,0,1,0,1,0,129.0
62,0,55.5,2410,122,3.39,8.6,84.0,4800.0,32,1,1,0,0,0,0,0,0,1,0,1,0,115.0
63,0,55.5,2443,122,3.39,22.7,64.0,4650.0,42,1,0,0,0,0,0,0,0,1,0,1,0,122.0
64,0,55.5,2425,122,3.39,8.6,84.0,4800.0,32,1,1,0,0,0,0,0,0,1,0,1,0,115.0
65,0,54.4,2670,140,3.76,8.0,120.0,5000.0,27,1,1,0,0,0,0,0,0,0,1,1,0,118.0
66,0,54.4,2700,134,3.43,22.0,72.0,4200.0,39,1,0,0,0,0,0,0,0,0,1,1,0,122.0
67,-1,56.5,3515,183,3.58,21.5,123.0,4350.0,25,1,0,0,0,0,0,0,0,0,1,1,0,93.0
68,-1,58.7,3750,183,3.58,21.5,123.0,4350.0,25,1,0,0,0,0,0,0,0,0,1,1,0,93.0
69,0,54.9,3495,183,3.58,21.5,123.0,4350.0,25,1,0,0,0,0,0,0,1,0,1,1,0,93.0
70,-1,56.3,3770,183,3.58,21.5,123.0,4350.0,25,1,0,0,0,0,0,0,0,0,1,1,0,93.0
71,-1,56.5,3740,234,3.46,8.3,155.0,4750.0,18,1,1,0,0,0,0,0,0,0,1,0,0,122.0
72,3,50.8,3685,234,3.46,8.3,155.0,4750.0,18,1,1,0,0,0,0,0,1,0,1,0,0,142.0
73,0,56.7,3900,308,3.8,8.0,184.0,4500.0,16,1,1,0,0,0,0,0,0,0,1,0,0,122.0
